,Title,Type,Episodes,Status,Start_Airing,End_Airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites,Description
0,Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,"Apr 5, 2009","Jul 4, 2010",Spring,Sundays at 17:00 (JST),"Aniplex,Square Enix,Mainichi Broadcasting System,Studio Moriken,Funimation,Aniplex of America",Funimation,Bones,Manga,"Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen",24 min. per ep.,R - 17+ (violence & profanity),9.22,1,"1,909,954","160,245","""In order for something to be obtained, something of equal value must be lost.""Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg, Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone, it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the Fullmetal Alchemist.Three years of searching later, the brothers seek the Philosopher's Stone, a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang, Lieutenant Riza Hawkeye, and Lieutenant Colonel Maes Hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone, but their country's murky history as well. In between finding a serial killer and racing against time, Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.[Written by MAL Rewrite]"
1,Steins;Gate,TV,24,Finished Airing,"Apr 6, 2011","Sep 14, 2011",Spring,Wednesdays at 02:05 (JST),"Frontier Works,Media Factory,Movic,AT-X,Kadokawa Pictures Japan,Nitroplus,Funimation",Funimation,White Fox,Visual novel,"Thriller,Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,9.13,2,"1,550,781","133,605","The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel.Though miraculous in itself, the phenomenon doesn't provide anything concrete in Okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history.Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, <i>Steins;Gate</i> takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time.[Written by MAL Rewrite]"
2,Hunter x Hunter (2011),TV,148,Finished Airing,"Oct 2, 2011","Sep 24, 2014",Fall,Sundays at 10:55 (JST),"VAP,Nippon Television Network,Shueisha,Viz Media",Viz Media,Madhouse,Manga,"Action,Adventure,Fantasy,Shounen,Super Power",23 min. per ep.,PG-13 - Teens 13 or older,9.12,3,"1,332,095","119,628","<i>Hunter x Hunter</i> is set in a world where Hunters exist to perform all manner of dangerous tasks like capturing criminals and bravely searching for lost treasures in uncharted territories. Twelve-year-old Gon Freecss is determined to become the best Hunter possible in hopes of finding his father, who was a Hunter himself and had long ago abandoned his young son. However, Gon soon realizes the path to achieving his goals is far more challenging than he could have ever imagined.Along the way to becoming an official Hunter, Gon befriends the lively doctor-in-training Leorio, vengeful Kurapika, and rebellious ex-assassin Killua. To attain their own goals and desires, together the four of them take the Hunter Exam, notorious for its low success rate and high probability of death. Throughout their journey, Gon and his friends embark on an adventure that puts them through many hardships and struggles. They will meet a plethora of monsters, creatures, and characters—all while learning what being a Hunter truly means.[Written by MAL Rewrite]"
3,Ginga Eiyuu Densetsu,OVA,110,Finished Airing,"Jan 8, 1988","Mar 17, 1997",-,-,"Kitty Films,K-Factory,Sentai Filmworks,Artland",Sentai Filmworks,Magic Bus,Novel,"Military,Sci-Fi,Space,Drama",26 min. per ep.,R - 17+ (violence & profanity),9.11,4,"201,671","12,576","The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli.While Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang—a strong supporter of democratic ideals—has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution.As ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is.[Written by MAL Rewrite]"
4,Gintama°,TV,51,Finished Airing,"Apr 8, 2015","Mar 30, 2016",Spring,Wednesdays at 18:00 (JST),"TV Tokyo,Aniplex,Dentsu,Funimation,Crunchyroll",Funimation,Bandai Namco Pictures,Manga,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",24 min. per ep.,PG-13 - Teens 13 or older,9.11,5,"340,049","9,359","Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.Filled with tongue-in-cheek humor and moments of heartfelt emotion, <i>Gintama</i>'s fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.[Written by MAL Rewrite]"
5,Gintama',TV,51,Finished Airing,"Apr 4, 2011","Mar 26, 2012",Spring,Mondays at 18:00 (JST),"TV Tokyo,Aniplex,Dentsu,Trinity Sound,Miracle Robo,Studio Jack,Shueisha",add some,Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",24 min. per ep.,PG-13 - Teens 13 or older,9.09,6,"319,998","5,720","After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.With even more dirty jokes, tongue-in-cheek parodies, and shameless references, <i>Gintama'</i> follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.[Written by MAL Rewrite]<br/>
"
6,Shingeki no Kyojin Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019","Jul 1, 2019",Spring,Mondays at 00:10 (JST),"Production I.G,Dentsu,Mainichi Broadcasting System,Pony Canyon,Kodansha,Techno Sound,Pony Canyon Enterprise,Funimation",Funimation,Wit Studio,Manga,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",23 min. per ep.,R - 17+ (violence & profanity),9.07,7,"706,358","24,194","Seeking to restore humanity’s diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again. Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. <br/>
<br/>
<i>Shingeki no Kyojin Season 3 Part 2</i> follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.[Written by MAL Rewrite]"
7,Gintama': Enchousen,TV,13,Finished Airing,"Oct 4, 2012","Mar 28, 2013",Fall,Thursdays at 18:00 (JST),"TV Tokyo,Aniplex,Dentsu,Shueisha,Miracle Bus",add some,Sunrise,Manga,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",24 min. per ep.,PG-13 - Teens 13 or older,9.04,8,"193,576","2,120","While Gintoki Sakata was away, the Yorozuya found themselves a new leader: Kintoki, Gintoki's golden-haired doppelganger. In order to regain his former position, Gintoki will need the help of those around him, a troubling feat when no one can remember him! Between Kintoki and Gintoki, who will claim the throne as the main character?In addition, Yorozuya make a trip back down to red-light district of Yoshiwara to aid an elderly courtesan in her search for her long-lost lover. Although the district is no longer in chains beneath the earth's surface, the trio soon learn of the tragic backstories of Yoshiwara's inhabitants that still haunt them. With flashback after flashback, this quest has Yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls.<br/>
<br/>
<i>Gintama': Enchousen</i> includes moments of action-packed intensity along with their usual lighthearted, slapstick humor for Gintoki and his friends.[Written by MAL Rewrite]"
8,3-gatsu no Lion 2nd Season,TV,22,Finished Airing,"Oct 14, 2017","Mar 31, 2018",Fall,Saturdays at 23:00 (JST),"Aniplex,Dentsu,NHK,Hakusensha,Asmik Ace,Toy's Factory,Aniplex of America",Aniplex of America,Shaft,Manga,"Drama,Game,Seinen,Slice of Life",25 min. per ep.,PG-13 - Teens 13 or older,9.02,9,"219,365","8,924","Now in his second year of high school, Rei Kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life. Surrounded by vibrant personalities at the shogi hall, the school club, and in the local community, his solitary shell slowly begins to crack. Among them are the three Kawamoto sisters—Akari, Hinata, and Momo—who forge an affectionate and familial bond with Rei. Through these ties, he realizes that everyone is burdened by their own emotional hardships and begins learning how to rely on others while supporting them in return. Nonetheless, the life of a professional is not easy. Between tournaments, championships, and title matches, the pressure mounts as Rei advances through the ranks and encounters incredibly skilled opponents. As he manages his relationships with those who have grown close to him, the shogi player continues to search for the reason he plays the game that defines his career.[Written by MAL Rewrite]"
9,Kimi no Na wa.,Movie,1,Finished Airing,"Aug 26, 2016",-,-,-,"Toho,Sound Team Don Juan,Amuse,East Japan Marketing &amp; Communications,Kadokawa,voque ting,Funimation,NYAV Post",Funimation,CoMix Wave Films,Original,"Romance,Supernatural,School,Drama",1 hr. 46 min.,PG-13 - Teens 13 or older,9.02,10,"1,421,527","62,239","Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.<br/>
<br/>
<i>Kimi no Na wa.</i> revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.[Written by MAL Rewrite]"
